n,trial,expected_moves,rec_moves,rec_time_us,it_moves,it_time_us
1,1,1,1,0,1,2
1,2,1,1,0,1,0
1,3,1,1,0,1,0
1,4,1,1,0,1,0
1,5,1,1,0,1,0
1,6,1,1,0,1,0
1,7,1,1,0,1,0
1,8,1,1,0,1,0
1,9,1,1,0,1,0
1,10,1,1,0,1,0
1,11,1,1,0,1,0
1,12,1,1,0,1,0
1,13,1,1,0,1,0
1,14,1,1,0,1,0
1,15,1,1,0,1,0
1,16,1,1,0,1,0
1,17,1,1,0,1,0
1,18,1,1,0,1,0
1,19,1,1,0,1,0
1,20,1,1,0,1,0
1,21,1,1,0,1,0
1,22,1,1,0,1,0
1,23,1,1,0,1,0
1,24,1,1,0,1,0
1,25,1,1,0,1,0
1,26,1,1,0,1,0
1,27,1,1,0,1,0
1,28,1,1,0,1,0
1,29,1,1,0,1,0
1,30,1,1,0,1,0
2,1,3,3,0,3,2
2,2,3,3,0,3,2
2,3,3,3,0,3,2
2,4,3,3,0,3,2
2,5,3,3,0,3,2
2,6,3,3,0,3,2
2,7,3,3,0,3,2
2,8,3,3,0,3,2
2,9,3,3,0,3,2
2,10,3,3,0,3,2
2,11,3,3,0,3,2
2,12,3,3,0,3,2
2,13,3,3,0,3,1
2,14,3,3,0,3,1
2,15,3,3,0,3,1
2,16,3,3,0,3,1
2,17,3,3,0,3,1
2,18,3,3,0,3,1
2,19,3,3,0,3,1
2,20,3,3,0,3,1
2,21,3,3,0,3,1
2,22,3,3,0,3,1
2,23,3,3,0,3,1
2,24,3,3,0,3,1
2,25,3,3,0,3,1
2,26,3,3,0,3,1
2,27,3,3,0,3,1
2,28,3,3,0,3,1
2,29,3,3,0,3,1
2,30,3,3,0,3,1
3,1,7,7,0,7,2
3,2,7,7,0,7,1
3,3,7,7,0,7,2
3,4,7,7,0,7,1
3,5,7,7,0,7,1
3,6,7,7,0,7,1
3,7,7,7,0,7,1
3,8,7,7,0,7,1
3,9,7,7,0,7,1
3,10,7,7,0,7,2
3,11,7,7,0,7,1
3,12,7,7,0,7,1
3,13,7,7,0,7,1
3,14,7,7,0,7,1
3,15,7,7,0,7,1
3,16,7,7,0,7,1
3,17,7,7,0,7,1
3,18,7,7,0,7,1
3,19,7,7,0,7,1
3,20,7,7,0,7,1
3,21,7,7,0,7,1
3,22,7,7,0,7,1
3,23,7,7,0,7,1
3,24,7,7,0,7,1
3,25,7,7,0,7,1
3,26,7,7,0,7,1
3,27,7,7,0,7,1
3,28,7,7,0,7,1
3,29,7,7,0,7,1
3,30,7,7,0,7,1
4,1,15,15,0,15,3
4,2,15,15,0,15,3
4,3,15,15,0,15,3
4,4,15,15,0,15,3
4,5,15,15,0,15,3
4,6,15,15,0,15,3
4,7,15,15,0,15,3
4,8,15,15,0,15,3
4,9,15,15,0,15,3
4,10,15,15,0,15,3
4,11,15,15,0,15,3
4,12,15,15,0,15,3
4,13,15,15,0,15,3
4,14,15,15,0,15,3
4,15,15,15,0,15,3
4,16,15,15,0,15,3
4,17,15,15,0,15,3
4,18,15,15,0,15,3
4,19,15,15,0,15,3
4,20,15,15,0,15,3
4,21,15,15,0,15,3
4,22,15,15,0,15,3
4,23,15,15,0,15,3
4,24,15,15,0,15,3
4,25,15,15,0,15,3
4,26,15,15,0,15,3
4,27,15,15,0,15,3
4,28,15,15,0,15,3
4,29,15,15,0,15,3
4,30,15,15,0,15,3
5,1,31,31,0,31,7
5,2,31,31,0,31,6
5,3,31,31,0,31,6
5,4,31,31,0,31,6
5,5,31,31,0,31,6
5,6,31,31,0,31,6
5,7,31,31,0,31,6
5,8,31,31,0,31,6
5,9,31,31,0,31,6
5,10,31,31,0,31,6
5,11,31,31,0,31,6
5,12,31,31,0,31,6
5,13,31,31,0,31,6
5,14,31,31,0,31,6
5,15,31,31,0,31,6
5,16,31,31,0,31,6
5,17,31,31,0,31,6
5,18,31,31,0,31,6
5,19,31,31,0,31,6
5,20,31,31,0,31,6
5,21,31,31,0,31,6
5,22,31,31,0,31,6
5,23,31,31,0,31,6
5,24,31,31,0,31,6
5,25,31,31,0,31,6
5,26,31,31,0,31,6
5,27,31,31,0,31,6
